FROM,TO,VALUE
1345,1345,522
1507,1507,551
1607,1607,500
1732,1732,600
2115,2115,550
2422,2422,522
2546,2546,521
2851,2851,600
3363,3363,500
3527,3527,521
3624,3624,550
3648,3648,502
3782,3782,521
4105,4105,520
4183,4183,502
4543,4543,522
4565,4565,502
4694,4694,510
5103,5103,530
533,533,550
534,534,700
535,535,500
536,536,521
572,572,700
610,610,700
993,993,530
1100,1100,700
1293,1293,700
1358,1358,522
1508,1508,700
1725,1725,521
2216,2216,700
2522,2522,521
2627,2627,700
3025,3025,550
3036,3036,530
3050,3050,501
3131,3131,501
3160,3160,500
3360,3360,522
3852,3852,521
3870,3870,510
3888,3888,520
3948,3948,530
4094,4094,550
4406,4406,550
4425,4425,600
4674,4674,600
4760,4760,510
4948,4948,501
5047,5047,550
5233,5233,600
801,801,551
963,963,500
1244,1244,500
1304,1304,501
1560,1560,500
1869,1869,600
2032,2032,700
2354,2354,501
2603,2603,600
2667,2667,501
2754,2754,530
2989,2989,700
3601,3601,530
3684,3684,500
3698,3698,521
4224,4224,500
4412,4412,600
4471,4471,522
537,537,600
605,605,550
1110,1110,500
1409,1409,550
1453,1453,551
1559,1559,600
1650,1650,521
1673,1673,502
2086,2086,500
2224,2224,550
2247,2247,500
2949,2949,530
2971,2971,550
3001,3001,600
3102,3102,522
3194,3194,530
3353,3353,530
3692,3692,521
3822,3822,500
4132,4132,550
4326,4326,522
4367,4367,550
4783,4783,700
5150,5150,700
539,539,550
541,541,700
565,565,520
961,961,500
984,984,500
1343,1343,510
1371,1371,551
1463,1463,700
1683,1683,521
1794,1794,501
1955,1955,521
2127,2127,700
2219,2219,600
2479,2479,550
2640,2640,521
2784,2784,520
3076,3076,522
3211,3211,530
3242,3242,500
3325,3325,530
3337,3337,550
3501,3501,530
3981,3981,521
4006,4006,502
4392,4392,521
4393,4393,520
4666,4666,521
4719,4719,530
5213,5213,521
1019,1019,500
1434,1434,510
1670,1670,550
1678,1678,502
1723,1723,700
1822,1822,500
2133,2133,550
2193,2193,700
2326,2326,700
3023,3023,501
3158,3158,500
3322,3322,504
3511,3511,530
3712,3712,530
3829,3829,700
4048,4048,550
4219,4219,521
4500,4500,500
4548,4548,501
4685,4685,600
4687,4687,521
4911,4911,510
5059,5059,530
5064,5064,500
5127,5127,521
546,546,500
547,547,600
756,756,700
1555,1555,550
1612,1612,700
1700,1700,530
1832,1832,521
2135,2135,700
2202,2202,550
2237,2237,521
2398,2398,700
2431,2431,530
2493,2493,600
2696,2696,521
2916,2916,700
3096,3096,522
3246,3246,521
3302,3302,501
3571,3571,530
3810,3810,521
4121,4121,501
4238,4238,600
4402,4402,600
4426,4426,700
4539,4539,521
4975,4975,521
5070,5070,502
5171,5171,521
5191,5191,500
722,722,551
891,891,700
1034,1034,700
1039,1039,500
1153,1153,500
1581,1581,501
1768,1768,500
2110,2110,521
2319,2319,521
2374,2374,600
2575,2575,521
2707,2707,521
2893,2893,600
3276,3276,530
3537,3537,510
3623,3623,522
3793,3793,500
3916,3916,500
4193,4193,501
4278,4278,550
4481,4481,530
4618,4618,530
4622,4622,530
4728,4728,510
5033,5033,530
5056,5056,500
5065,5065,522
5104,5104,522
5215,5215,550
548,548,521
549,549,550
550,550,600
551,551,700
568,568,521
768,768,530
807,807,500
1209,1209,550
1229,1229,530
1297,1297,510
1336,1336,501
1535,1535,550
1858,1858,500
1995,1995,530
2034,2034,550
2138,2138,550
2204,2204,530
2277,2277,700
2446,2446,530
2664,2664,500
2704,2704,700
2728,2728,510
2824,2824,520
2833,2833,510
2972,2972,500
3062,3062,530
3202,3202,501
3406,3406,521
3604,3604,530
3734,3734,550
3821,3821,550
3931,3931,501
3945,3945,502
4280,4280,502
4301,4301,550
4654,4654,500
4838,4838,500
4900,4900,700
4982,4982,600
5050,5050,510
885,885,500
909,909,501
1111,1111,700
1225,1225,700
1340,1340,550
1449,1449,510
1520,1520,510
1528,1528,510
2292,2292,550
2315,2315,522
2656,2656,501
2686,2686,550
2876,2876,521
3207,3207,521
3565,3565,550
3621,3621,530
3622,3622,500
3990,3990,500
4546,4546,600
4686,4686,530
4734,4734,550
5045,5045,521
552,552,520
715,715,500
812,812,551
1045,1045,530
1091,1091,500
1393,1393,550
1411,1411,550
1430,1430,501
1454,1454,530
1624,1624,521
1924,1924,530
2089,2089,700
2293,2293,510
2301,2301,550
2309,2309,530
2404,2404,521
2536,2536,500
2725,2725,521
2753,2753,520
2882,2882,501
2988,2988,520
3267,3267,530
3488,3488,530
3694,3694,500
3745,3745,700
3837,3837,700
4016,4016,600
4128,4128,700
4256,4256,501
4323,4323,510
4330,4330,550
4449,4449,550
4492,4492,521
4688,4688,600
4864,4864,522
5071,5071,530
5077,5077,600
5108,5108,521
5114,5114,600
5164,5164,521
5228,5228,600
553,553,550
554,554,521
641,641,521
642,642,600
775,775,700
839,839,502
910,910,550
1080,1080,520
1374,1374,502
1403,1403,530
1438,1438,500
1444,1444,600
1511,1511,550
1538,1538,700
1915,1915,521
1982,1982,550
2011,2011,700
2094,2094,550
2331,2331,700
2710,2710,550
2726,2726,530
2875,2875,510
2945,2945,530
2952,2952,530
3032,3032,550
3114,3114,530
3115,3115,510
3381,3381,700
3464,3464,550
3494,3494,530
3532,3532,521
3719,3719,530
4277,4277,550
4293,4293,530
4518,4518,600
4675,4675,530
4689,4689,521
4723,4723,510
5044,5044,522
5125,5125,522
558,558,550
559,559,522
560,560,500
561,561,600
562,562,522
921,921,550
1090,1090,550
1157,1157,700
1487,1487,600
1526,1526,550
1878,1878,700
1916,1916,550
2035,2035,600
2043,2043,501
2209,2209,700
2346,2346,530
2361,2361,700
2432,2432,501
2519,2519,700
2556,2556,510
3059,3059,530
3429,3429,530
3755,3755,521
3845,3845,700
3874,3874,522
3963,3963,520
4101,4101,550
4117,4117,700
4362,4362,501
4475,4475,520
4544,4544,550
4606,4606,600
4671,4671,500
4812,4812,521
4997,4997,600
651,651,501
1117,1117,521
1325,1325,600
1404,1404,501
1574,1574,521
1609,1609,550
1722,1722,550
1762,1762,600
1792,1792,600
1979,1979,550
2025,2025,551
2125,2125,550
2159,2159,600
2327,2327,550
3244,3244,550
3448,3448,500
3611,3611,700
3739,3739,600
3765,3765,521
3798,3798,530
3828,3828,521
3904,3904,600
3975,3975,522
4078,4078,522
4179,4179,500
4507,4507,700
4517,4517,501
4519,4519,550
4588,4588,521
4985,4985,521
5034,5034,600
5111,5111,521
5154,5154,700
567,567,530
717,717,510
727,727,550
800,800,530
896,896,530
1296,1296,510
1395,1395,700
1408,1408,550
1627,1627,500
1630,1630,551
1865,1865,550
1907,1907,510
2084,2084,530
2123,2123,700
2156,2156,600
2344,2344,510
2443,2443,550
2504,2504,530
2585,2585,522
3046,3046,600
3105,3105,510
3210,3210,530
3361,3361,500
3762,3762,600
3825,3825,550
3905,3905,501
3992,3992,550
4415,4415,501
4504,4504,530
4580,4580,522
4593,4593,600
4604,4604,551
4830,4830,521
4876,4876,510
4987,4987,700
5116,5116,521
5183,5183,530
5202,5202,600
570,570,700
600,600,530
621,621,600
696,696,550
1187,1187,700
1486,1486,551
1632,1632,502
1676,1676,600
1731,1731,530
1868,1868,700
1926,1926,700
1984,1984,530
2187,2187,600
2465,2465,521
2537,2537,700
2607,2607,500
2759,2759,510
3150,3150,521
3171,3171,550
3239,3239,522
3355,3355,501
3447,3447,521
3517,3517,550
3600,3600,521
3685,3685,600
3721,3721,502
4005,4005,600
4153,4153,501
4165,4165,550
4264,4264,522
4305,4305,522
4340,4340,522
4377,4377,550
4721,4721,521
4754,4754,551
5117,5117,550
5135,5135,522
5182,5182,700
624,624,550
771,771,700
797,797,700
863,863,700
899,899,700
949,949,522
1027,1027,700
1348,1348,521
1493,1493,530
1622,1622,550
1631,1631,530
2080,2080,700
2169,2169,521
2199,2199,530
2211,2211,530
2254,2254,600
2349,2349,700
2382,2382,551
2437,2437,550
2540,2540,700
2621,2621,510
2653,2653,500
2790,2790,501
2848,2848,700
3145,3145,530
3326,3326,551
3440,3440,530
3478,3478,522
3483,3483,550
3491,3491,521
3584,3584,600
3722,3722,520
3731,3731,700
3869,3869,700
3896,3896,530
3953,3953,700
3969,3969,530
4123,4123,522
4261,4261,550
4274,4274,522
4424,4424,600
4466,4466,550
4522,4522,500
4542,4542,550
4581,4581,500
4601,4601,530
4720,4720,550
4906,4906,500
4943,4943,550
5013,5013,600
5121,5121,600
5155,5155,510
5175,5175,510
573,573,501
574,574,530
575,575,550
731,731,700
799,799,700
917,917,550
939,939,550
962,962,551
1006,1006,600
1137,1137,530
1392,1392,550
1396,1396,551
1689,1689,521
1761,1761,501
1972,1972,500
2040,2040,700
2183,2183,500
2295,2295,550
2305,2305,550
2442,2442,521
2591,2591,600
2599,2599,700
2668,2668,700
3121,3121,510
3255,3255,700
3295,3295,500
3304,3304,530
3378,3378,700
3509,3509,500
3644,3644,600
3802,3802,550
3999,3999,521
4042,4042,600
4051,4051,550
4059,4059,510
4076,4076,500
4247,4247,550
4276,4276,530
4344,4344,500
4371,4371,503
4372,4372,550
4480,4480,600
4484,4484,530
4616,4616,600
4617,4617,600
4817,4817,700
4829,4829,550
5066,5066,500
5140,5140,522
578,578,700
607,607,600
798,798,522
893,893,530
1003,1003,504
1049,1049,521
1223,1223,520
1241,1241,700
1447,1447,550
1460,1460,530
1601,1601,600
1691,1691,521
1728,1728,600
1996,1996,521
2116,2116,550
2121,2121,600
2176,2176,550
2185,2185,600
2214,2214,521
2217,2217,700
2238,2238,500
2272,2272,550
2426,2426,550
2532,2532,550
2558,2558,550
2563,2563,550
2595,2595,700
2852,2852,501
2956,2956,530
3278,3278,700
3308,3308,550
3311,3311,521
3312,3312,550
3441,3441,521
